,name,creator,history_text,alignment,past_alignment
0,man,marvel comic,delroy garrett jr grow become track star compete olympic game test positive steroid lose three gold medal despair turn religion specifically triune understanding group founder jonathan tremont find one three fragment mysterious object use give garrett power man garrett assume power newfound spiritual enlightenment tremont never disabuse notion,good,bad
2,abomb,marvel comic,richard rick jones orphan young age expel several orphanage disciplinary reason place state institution call tempest town troubled rebellious youth jones soon come attention institution chief administrator smash guitar gift late father severely thrash soon afterward jones run away institution spend first half teen drift town town throughout southwest try avoid juvenile authority menial work could get age get driver license manage save enough money buy used car overhear teenager dare friend ride desert rumor atomic bomb go test jones offer take upon challenge drive car test site discover challenger timid show dr robert bruce banner designer gamma bomb test learn someone venture onto test site believe countdown delay ran desert warn back banner manage throw jones protective trench bomb detonate bombard gamma radiation radiation trigger mutagenic change banner cause turn rag superhuman hulk feel responsible banner condition person know rampage brute actually banner jones become hulk sometimes unwanted companion ally jones soon organize teen brigade group young amateur ham radio enthusiasts help monitor hulk activity jones present hulk first encounter army well superhuman menace gargoyle alien toadmen ringmaster tyrannus metal master even runin fantastic four avenger form due rick radio broadcast warn hulk temporarily become sidekick captain america resemblance bucky note rick even wear buckys costume time however captain america felt not want lose another partner rick good athlete not quite level bucky iron man suggest rick make full member avenger cap strongly oppose idea kree hero captain marvell bond rick due able function negative zone hour use negative zone portal baxter building seem remove limitation shortly rick marvell remerged eventually separate kreeskrull war omniwave machine supreme intelligence cause destiny force trigger within rick attempt cure hulk instead give rick radiation poisoning hospital dire wraith begin replace staff stop rom rick assist rom wraith temporarily live brandy clark jones cure beyonder time rom brandy leave galador rick begin date marlo chandler former girlfriend hulk two later marry great number hero attendance impossible man best usurp proceeding invite kree skrulls even mephisto ceremony period estrangement also involve moondragon death become involve marlo two reunite jones temporarily paralyze hulk horseman war attempt stop war hulk throw pyramid rick cure destiny war summon avenger various reality battle existence time keeper strain incredible future version genisvell bond much like rick marvell rick genis later discover bond still apply current genis rick author bestselling novel day sidekick hulk return earth jones attempt calm tell captain americas death hulk almost calm dr strange invade hulk mind rick later go stranges sanctum sanctorum attack hulks ally later rick transport gamma bomb site give birth original hulk drop encounter red hulk see murder emil blonsky abomination rick transform new blue creature quite resemble abomination call abomb new form much like original hulk incarnation whereas could not remember anybody else transformation complete easily flare temper simplify speech pattern hold red hulk extended period time withstand blow injure multiple time far nobody able accomplish battle interrupt several giant android harpy specifically design united state military case bruce banner escape facility hulk abomb prove hold onto fragment memory rick jones recognize harpy face betty ross bruce banner first love abomb manage disable one midflight crash earththe robot explode abomb join several hero include avenger fantastic four shehulk hulk help stop impending earthquake san francisco cause red hulk red hulk defeat abomb revert back rick attempt reveal red hulk really shoot drag away doc samson area,good,bad
3,aa,dc comic,aa one passive member pumice people race stoneworld hal jordan attempt restart green lantern corp send one rookie brik draw new recruit brik select one member stoneworlds two dominant race aa pumicepeople kworri obsidianfolk hortly recruit aa kworri brik capture flicker agent pangalactic placement service corporation cosmic headhunter flicker intend sell upandcoming green lantern race know quanhooga already succeed capture hal jordan attempt brainwash give information concern earthling carol ferris aka star sapphire hal break free control rescue aa others prepare eventuality flicker let hero believe escape four fly outer spaceas leave pangalactic company ship aa take liberty capture one agency attendant hal mindprobed captive ring learn whereabouts star sapphire aa uncomfortable idea expect follow hal personal quest rival kworri quick point aa would always second guess hals leadership potential kworri swear undying fealty towards hal corp hal tell resolve affair involve star sapphire would select either aa kworri serve green lantern corp would force return stoneworld hal investigate situation one angle aa brik kworri track star sapphire last location fleet teban warship engage battle quanhooga armada kworri follow hals stand order wait watch aa question order cite hal could not foresee arrive scene fierce space battle hal show soon aa exchange tense word good character female character new earth character aa new earth english edit share green lanternhelp gallery real name aa current alias green lantern affiliation darkstars formerly green lantern corp nd iteration status alignment good identity secret identity race pumice person marital status single occupation green lantern characteristic gender female hair hair skin grey origin universe new earth prime earth sector sector partner brik place birth stoneworld creator gerard jones pat broderick romeo tanghal first appearance green lantern vol february quote pet rock aa stoneworld moralist think high code keep u honest quote kilowog src contentsshow history aa one passive member pumice people race stoneworld hal jordan attempt restart green lantern corp send one rookie brik draw new recruit brik select one member stoneworlds two dominant race aa pumicepeople kworri obsidianfolk shortly recruit aa kworri brik capture flicker agent pangalactic placement service corporation cosmic headhunter flicker intend sell upandcoming green lantern race know quanhooga already succeed capture hal jordan attempt brainwash give information concern earthling carol ferris aka star sapphire hal break free control rescue aa others prepare eventuality flicker let hero believe escape four fly space leave pangalactic company ship aa take liberty capture one agency attendant hal mindprobed captive ring learn whereabouts star sapphire aa uncomfortable idea expect follow hal personal quest rival kworri quick point aa would always second guess hals leadership potential kworri swear undying fealty towards hal corp hal tell resolve affair involve star sapphire would select either aa kworri serve green lantern corp would force return stoneworld hal investigate situation one angle aa brik kworri track star sapphire last location fleet teban warship engage battle quanhooga armada kworri follow hals stand order wait watch aa question order cite hal could not foresee arrive scene fierce space battle hal show soon aa exchange tense word green lantern board teben flagship command captain kreon find kreon not possession comatose star sapphire also league pangalactic headhunter flicker part flicker end game could deliver green lantern prospect true client teben not quanhooga thing quickly begin fall apart flicker try keep green lantern bay train weapon star sapphire aa spoil flicker shot thus save carols life retrieve unconscious body lantern fly away oppose armada loyal kworri confident would one hal would select join new corp turn hal decide first moment meet aa woman want side appreciate aas ideal persistently question authority attitude not altogether different hal jordan,good,bad
4,aaron cash,dc comic,aaron cash head security arkham asylum hook hand real hand eat killer croc,good,bad
5,aayla secura,george lucas,ayla secura rutian twilek jedi knight onetime apprentice quinlan vos serve clone war fight several battle include one help free small lurmen village destruction also help fend zillo beast rampage coruscant mutual feeling fellow jedi kit fisto choose not pursue feeling remain jedi one jedi develop strong bond clone commander commander bly share mutual trust respect serve felucia order execute supreme chancellor palpatine shoot back kill bly another member th star corp body destroy clone,good,good
6,abe sapien,dark horse comic,sapien begin life langdon everett caul victorian scientist businessman become involve oannes society occult organization believe life knowledge come sea retrieve strange jellyfishlike deity underwater ruin caul member perform arcane ritual inadvertently end creature release caul turn icthyo sapien believe oannes reborn society seal develop icthyo sapiens body tube water hidden laboratory beneath washington dc hospital time fully form force abandon site outbreak civil war society never find occasion return caul stay find workman november memory life icthyo sapien receive new name piece paper attach tube date day abraham lincolns assassination april abe sapien take bureau paranormal research defense bprd gruelling round research curious bprd scientist save vivisection empathetic hellboy thereafter abe enter rank bprd valued field agent embark first mission hellboy cavendish hall climax seed destruction sapien possess spirit longdead whaler elihu cavendish contemporary langdon caul kill mad monk rasputin foil plan unleash ogdru jahad destroy world subsequent girescu affair wake devil abe fellow agent lead trap leave agent dead abe broken arm rasputin vengeful spirit appear prophesy sapien one day spear death plague frog rasputin prediction come true sapien impale spear apparently kill one ogdru jahads follower sapien appear die body experience bring former life antebellum america witness past self action abe enter caul body prior transformation create spiritualmystical time loop abe return life present make fast recovery begin research past life result abe learns edith howard langdon cauls wife drown madness become spectre force exorcise attempt sapien resume life caul leave sapien memory wife could never know garden souls sapien contact panya ageless mummy trap oannes society sapiens compatriot former life langdon caul sequester away hidden island indonesia nowwithered psychic form contain cyborg body aware imminent apocalypse society determine save least mankind spiritual essence poise use bomb massive tidal wave would devastate southern hemisphere soul whose population could harvest society vatgrown body make expressly purpose grant godlike power horrify abe manage singlehandedly destroy society escape panya finally come term ghost past truly separate identity langdon caul would likely agree willingly society plan abe since fully return bprd continue one trustworthy agent however king fear abe lead return mission hyperborean underworld confront supervillain black flame gather vast army frog hyperborean usher apocalypse flame reveal abe go epicentre new earth fully evolve version frog monsters one new men first mention hellboy conqueror worm rasputin abe reject idea many bprd field agent wary vision future liz sherman show time abe monstrous form recently god abe shoot psychic girl name fnix bprd show interest accord professor odonnell fnix equal ancient hyperborean shaman keep ogdru hem enter earth hyperboreas fall use vril energy fnix say shoot abe know impliying figure abes condition evolved form frog monster abe last see helicopter treat bullet wound,good,bad
7,abin sur,dc comic,originally history professor planet ungara abin sur soon appoint green lantern space sector mid child become best friend ruch ehr later association munni jah two couple abin secretly love munni never overtly speak recruit green lantern know starkagr know come earth several occasion old west team ancestor hal jordan battle alien name traitor responsible death starkagr world war two briefly encountered starman bulletman three battle alien control mr mind also visit earth point golden silver age encounter martian manhunter patrol attack pursue know legion way oa badly injure space ship seriously damage make emergency land near habitable planet earth begin use power ring search successor wield ring pass ring settle hal jordan suitable replacement right death brief time zero hour pull present assist darkstars battle entropy return time afterlife abin sur assist swamp thing alec holland rescue daughter tefe hell later reveal part soul torture hell spirit act companion hal jordan brief stint spectre eventually free hell assist jordan several spiritual adventure metaphysical dilemma eventually abin sur engage karammjeev descent ungaran form reincarnation reborn lagzia daughter sur old friend ruch ehr munni jah point life abin sire son amon sur grow become man charge black circle crime syndicate amon angry deceased father abandon green lantern corp decide take anger green lantern amon eventually stop abins successor successor kyle rayner secondgeneration guardian universe call lianna,good,bad
12,absorb man mcu,marvel comic,carl crusher creel enhanced individual ability absorb property anything touch originally boxer creel appear shields radar deem dangerous john garrett send kill garrett secretly work hydra fake creel death recruit hydra creel work daniel whitehall order steal obelisk creel stop phil coulsons team hand glenn talbot custody recover effect obelisk creel underwent month treatment rid hydra brainwash brigadier general glenn talbot make leader atcu commission creel personal bodyguard meeting discuss inhumans threat pose although shield doubt creel prove trustworthy follow talbots incapacitation due attempt life creel recruit general hale one last remaining hydra leader join team goal capture member shield frame attack talbot upon learn coulson talbot hold prisoner creel help escape however still suffer effect expose gravitonium hale creel betray talbot become empower element go mad power talbot help creel absorb property gravitonium transform element consume creel gain gravitonium,good,bad
15,achilles warkiller,dc comic,achilles warkiller create zeus counter wonder woman,good,good
18,adam monroe,nbc hero,nan,good,good
